code,long_title,precision,recall,f1,tp,fp,fn,test_count,train_frequency
00160J6,"Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Open Approach",0.0,0.0,0.0,0,0,4,4,19.0
00163J6,"Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Percutaneous Approach",0.6666666663888888,0.999999999375,0.7999999948000001,16,8,0,16,79.0
00164J6,"Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Percutaneous Endoscopic Approach",0.0,0.0,0.0,0,0,3,3,14.0
008Q4ZZ,"Division of Vagus Nerve, Percutaneous Endoscopic Approach",0.999999995,0.999999995,0.9999999900000001,2,0,0,2,9.0
009400Z,"Drainage of Intracranial Subdural Space with Drainage Device, Open Approach",0.0,0.0,0.0,0,3,8,8,37.0
00940ZZ,"Drainage of Intracranial Subdural Space, Open Approach",0.0,0.0,0.0,0,1,6,6,31.0
009430Z,"Drainage of Intracranial Subdural Space with Drainage Device, Percutaneous Approach",0.3333333322222222,0.1999999996,0.24999999468750006,1,2,4,5,25.0
00943ZZ,"Drainage of Intracranial Subdural Space, Percutaneous Approach",0.3999999992,0.49999999875,0.4444444385185186,2,3,2,4,17.0
009600Z,"Drainage of Cerebral Ventricle with Drainage Device, Open Approach",0.0,0.0,0.0,0,3,4,4,19.0
009630Z,"Drainage of Cerebral Ventricle with Drainage Device, Percutaneous Approach",0.8648648646311176,0.9411764703114187,0.9014084454592344,32,5,2,34,164.0
00970ZZ,"Drainage of Cerebral Hemisphere, Open Approach",0.3333333322222222,0.4999999975,0.39999999360000005,1,2,1,2,8.0
009U00Z,"Drainage of Spinal Canal with Drainage Device, Open Approach",0.0,0.0,0.0,0,1,3,3,14.0
009U0ZZ,"Drainage of Spinal Canal, Open Approach",0.0,0.0,0.0,0,1,3,3,17.0
009U30Z,"Drainage of Spinal Canal with Drainage Device, Percutaneous Approach",0.249999999375,0.16666666638888888,0.1999999948000001,1,3,5,6,27.0
009U3ZX,"Drainage of Spinal Canal, Percutaneous Approach, Diagnostic",0.7043189368536771,0.7412587412328231,0.722316860396031,212,89,74,286,1261.0
009U3ZZ,"Drainage of Spinal Canal, Percutaneous Approach",0.0,0.0,0.0,0,1,11,11,56.0
00B00ZX,"Excision of Brain, Open Approach, Diagnostic",0.0,0.0,0.0,0,2,7,7,33.0
00B00ZZ,"Excision of Brain, Open Approach",0.24999999984375,0.24999999984375,0.24999999484375007,4,12,12,16,77.0
00B03ZX,"Excision of Brain, Percutaneous Approach, Diagnostic",0.3333333329629629,0.4285714279591837,0.374999994609375,3,6,4,7,37.0
00B10ZX,"Excision of Cerebral Meninges, Open Approach, Diagnostic",0.0,0.0,0.0,0,1,3,3,12.0
00B10ZZ,"Excision of Cerebral Meninges, Open Approach",0.41935483857440164,0.7647058819031142,0.5416666618663195,13,18,4,17,85.0
