code,long_title,precision,recall,f1,tp,fp,fn,test_count,train_frequency
00160J6,"Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Open Approach",0.0,0.0,0.0,0,3,4,4,19.0
00163J6,"Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Percutaneous Approach",0.6666666663888888,0.999999999375,0.7999999948000001,16,8,0,16,79.0
00164J6,"Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Percutaneous Endoscopic Approach",0.0,0.0,0.0,0,0,3,3,14.0
008Q4ZZ,"Division of Vagus Nerve, Percutaneous Endoscopic Approach",0.999999995,0.999999995,0.9999999900000001,2,0,0,2,9.0
009400Z,"Drainage of Intracranial Subdural Space with Drainage Device, Open Approach",0.19999999986666667,0.37499999953124996,0.26086956045368626,3,12,5,8,37.0
00940ZZ,"Drainage of Intracranial Subdural Space, Open Approach",0.0,0.0,0.0,0,0,6,6,31.0
009430Z,"Drainage of Intracranial Subdural Space with Drainage Device, Percutaneous Approach",0.249999999375,0.1999999996,0.2222222167901236,1,3,4,5,25.0
00943ZZ,"Drainage of Intracranial Subdural Space, Percutaneous Approach",0.24999999979166665,0.7499999981250001,0.37499999578125004,3,9,1,4,17.0
009600Z,"Drainage of Cerebral Ventricle with Drainage Device, Open Approach",0.0,0.0,0.0,0,1,4,4,19.0
009630Z,"Drainage of Cerebral Ventricle with Drainage Device, Percutaneous Approach",0.8648648646311176,0.9411764703114187,0.9014084454592344,32,5,2,34,164.0
00970ZZ,"Drainage of Cerebral Hemisphere, Open Approach",0.3333333322222222,0.4999999975,0.39999999360000005,1,2,1,2,8.0
009U00Z,"Drainage of Spinal Canal with Drainage Device, Open Approach",0.1999999996,0.3333333322222222,0.24999999468750006,1,4,2,3,14.0
009U0ZZ,"Drainage of Spinal Canal, Open Approach",0.0,0.0,0.0,0,0,3,3,17.0
009U30Z,"Drainage of Spinal Canal with Drainage Device, Percutaneous Approach",0.4285714279591837,0.49999999916666665,0.4615384558579882,3,4,3,6,27.0
009U3ZX,"Drainage of Spinal Canal, Percutaneous Approach, Diagnostic",0.6840731070317474,0.9160839160518851,0.783258589999486,262,121,24,286,1261.0
009U3ZZ,"Drainage of Spinal Canal, Percutaneous Approach",0.0,0.0,0.0,0,0,11,11,56.0
00B00ZX,"Excision of Brain, Open Approach, Diagnostic",0.9999999900000002,0.14285714265306124,0.24999999718750004,1,0,6,7,33.0
00B00ZZ,"Excision of Brain, Open Approach",0.23809523798185941,0.3124999998046875,0.2702702652154858,5,16,11,16,77.0
00B03ZX,"Excision of Brain, Percutaneous Approach, Diagnostic",0.49999999937499995,0.571428570612245,0.5333333276444445,4,4,3,7,37.0
00B10ZX,"Excision of Cerebral Meninges, Open Approach, Diagnostic",0.0,0.0,0.0,0,0,3,3,12.0
00B10ZZ,"Excision of Cerebral Meninges, Open Approach",0.5238095235600907,0.6470588231487889,0.5789473631717452,11,10,6,17,85.0
00B20ZX,"Excision of Dura Mater, Open Approach, Diagnostic",0.0,0.0,0.0,0,0,2,2,11.0
00B20ZZ,"Excision of Dura Mater, Open Approach",0.0,0.0,0.0,0,0,4,4,20.0
00B60ZZ,"Excision of Cerebral Ventricle, Open Approach",0.1999999996,0.3333333322222222,0.24999999468750006,1,4,2,3,16.0
00B70ZX,"Excision of Cerebral Hemisphere, Open Approach, Diagnostic",0.0,0.0,0.0,0,1,15,15,44.0
00B70ZZ,"Excision of Cerebral Hemisphere, Open Approach",0.5087719297353032,0.7435897433990796,0.60416666171658,29,28,10,39,127.0
00B73ZX,"Excision of Cerebral Hemisphere, Percutaneous Approach, Diagnostic",0.5555555549382716,0.6249999992187499,0.5882352884429066,5,4,3,8,38.0
00BC0ZX,"Excision of Cerebellum, Open Approach, Diagnostic",0.0,0.0,0.0,0,1,2,2,9.0
00BC0ZZ,"Excision of Cerebellum, Open Approach",0.4999999997222222,0.9999999988888888,0.6666666617283951,9,9,0,9,43.0
00BM0ZZ,"Excision of Facial Nerve, Open Approach",0.0,0.0,0.0,0,1,3,3,16.0
00BT0ZX,"Excision of Spinal Meninges, Open Approach, Diagnostic",0.0,0.0,0.0,0,0,1,1,8.0
00BT0ZZ,"Excision of Spinal Meninges, Open Approach",0.0,0.0,0.0,0,4,4,4,19.0
00BW0ZZ,"Excision of Cervical Spinal Cord, Open Approach",0.6666666644444444,0.999999995,0.799999992,2,1,0,2,10.0
00BX0ZX,"Excision of Thoracic Spinal Cord, Open Approach, Diagnostic",0.0,0.0,0.0,0,1,3,3,8.0
00BX0ZZ,"Excision of Thoracic Spinal Cord, Open Approach",0.4444444439506172,0.7999999984,0.5714285660204083,4,5,1,5,26.0
00BY0ZX,"Excision of Lumbar Spinal Cord, Open Approach, Diagnostic",0.0,0.0,0.0,0,1,5,5,12.0
